Freq,PN
602.5595860744,-143.1856468887
611.8805757518,-143.2018786198
621.3457517481,-143.2444395534
630.9573444802,-143.3375934792
640.7176188676,-143.38234127
650.6288748656,-143.4157153731
660.6934480076,-143.4875066084
670.9137099554,-143.5186434857
681.292069058,-143.6043111916
691.8309709189,-143.6915931683
702.5328989731,-143.7048805384
713.4003750713,-143.7882862444
724.435960075,-143.8915877202
735.6422544596,-143.9704563679
747.0218989273,-144.0354205221
758.5775750292,-144.0979162801
770.3120057972,-144.1893280767
782.227956386,-144.237578286
794.3282347243,-144.3549322509
806.6156921766,-144.3858354772
819.0932242153,-144.4704914903
831.7637711027,-144.5762851165
844.630318584,-144.6145324463
857.6958985909,-144.6503782626
870.9635899561,-144.6881082961
884.4365191386,-144.7453673699
898.1178609607,-144.7989169938
912.0108393559,-144.8250369949
926.1187281288,-144.8553824108
940.4448517264,-144.8765487419
954.9925860214,-144.8904145467
969.7653591083,-144.9320294961
984.7666521102,-144.9699786061
1000,-145.0675613886
1015.4689924331,-145.1525526206
1031.1772745931,-145.2440663664
1047.1285480509,-145.2885822493
1063.3265716372,-145.380672244
1079.7751623277,-145.4729967357
1096.4781961432,-145.5329169594
1113.4396090624,-145.6172360392
1130.6633979496,-145.6976745173
1148.1536214969,-145.769379961
1165.9144011798,-145.8211888653
1183.9499222293,-145.8452561836
1202.2644346174,-145.8793754836
1220.8622540591,-145.9106851064
1239.747763029,-145.9508082633
1258.9254117942,-145.997480647
1278.399719463,-146.0409216695
1298.1752750499,-146.1076937955
1318.2567385564,-146.1669047643
1338.64884207,-146.2434375659
1359.3563908785,-146.3078224976
1380.3842646029,-146.3598760112
1401.7374183468,-146.4235913961
1423.4208838644,-146.5051348666
1445.4397707459,-146.5763520542
1467.7992676221,-146.6424592278
1490.5046433862,-146.6894091207
1513.5612484362,-146.7419025422
1536.9745159353,-146.8043903618
1560.7499630921,-146.8479049697
1584.8931924611,-146.8903465515
1609.4098932625,-146.9650729058
1634.3058427231,-147.0389606137
1659.5869074376,-147.0910607126
1685.2590447508,-147.0949698513
1711.3283041618,-147.1312810856
1737.8008287494,-147.1638128025
1764.6828566195,-147.1898717485
1791.9807223753,-147.2025607206
1819.70085861,-147.2226458473
1847.8497974223,-147.2703099442
